Title,Model,Type,Year,Mileage,Transmission,Location,CC,Variant,Price,Origin
*2019 Honda N BOX 660 CUSTOM GL TURBO HONDA,N BOX,4D MPV,2019,35k - 39k,Auto,Selangor,0.7,CUSTOM GL TURBO HONDA SENSING,89700,JAPAN
1997 Honda CIVIC 1.6 EFI (A),CIVIC,4D SEDAN,1997,300k - 349k,Auto,Terengganu,1.6,EFI,20800,MALAYSIA
2016 Honda JAZZ 1.5 (A),JAZZ,4D HATCHBACK,2016,75k - 79k,Auto,Selangor,1.5,S,39800,MALAYSIA
2014 Honda JAZZ 1.5 ONE OWNER CAR KING CONDITION,JAZZ,4D HATCHBACK,2014,120k - 129k,Auto,Selangor,1.5,S,36800,MALAYSIA
1997 Honda CIVIC 1.6 EFI (A),CIVIC,4D SEDAN,1997,400k - 449k,Auto,Perak,1.6,EFI,8500,MALAYSIA
2022 Honda CITY 1.5 V SENSING#WARRANTY TILL 2027#,CITY,4D SEDAN,2022,45k - 49k,Auto,Selangor,1.5,V,64800,MALAYSIA
Honda CR-V 1.5 TC-P 2WD (A) FULL SERVICE,CR-V,4D SUV,2018,90k - 94k,Auto,Johor,1.5,TC-P 2WD,93800,MALAYSIA
"2022 Honda BR-V V 1.5L (A) Full Serv, Low Mileage",BR-V,4D WAGON,2022,30k - 34k,Auto,Johor,1.5,V,69800,MALAYSIA
2018 Honda BR-V 1.5 V (A) Mileage 49K JB Plate,BR-V,4D WAGON,2018,45k - 49k,Auto,Johor,1.5,V,52800,MALAYSIA
1999 Honda CR-V 2.0 (A),CR-V,4D SUV,1999,30k - 34k,Auto,Pahang,2,-,8500,JAPAN
1999 Honda CR-V 2.0 (A),CR-V,4D SUV,1999,30k - 34k,Auto,Pahang,2,-,8500,JAPAN
2016 Honda ACCORD 2.0 VTi-L /87K MIL/FREE WARRANTY,ACCORD,4D SEDAN,2016,85k - 89k,Auto,Selangor,2,VTi,51770,MALAYSIA
2016 Honda HR-V 1.8 S (A) WARRANTY END 2025,HR-V,4D WAGON,2016,85k - 89k,Auto,Kuala Lumpur,1.8,S,42800,MALAYSIA
2013 Honda CR-V FACELIFT (A) LOAN 6 TAHUN LAGI,CR-V,4D SUV,2013,100k - 109k,Auto,Selangor,2,i-VTEC,33800,MALAYSIA
1k BLACKLIST LOAN KEDAI xdoc BOLEH Honda City (A),CITY,4D SEDAN,2010,100k - 109k,Auto,Selangor,1.5,S,14900,MALAYSIA
Honda CIVIC 1.5 TC-P F/S/R F/LON TRYE R BODY/KIT,CIVIC,4D SEDAN,2020,70k - 74k,Auto,Kuala Lumpur,1.5,TC-PREMIUM,104999,MALAYSIA
Honda ACCORD 2.0VTi-L ELECTRIC SEAT MODULO BODYKIT,ACCORD,4D SEDAN,2014,90k - 94k,Auto,Selangor,2,VTi-L,43999,MALAYSIA
1k BLACKLIST LOAN KEDAI xdoc BOLEH HONDA CITY (A),CITY,4D SEDAN,2012,100k - 109k,Auto,Selangor,1.5,SE,17900,MALAYSIA
R /2017/ Honda HR-V 1.8 V ENHANCED (A),HR-V,4D WAGON,2017,95k - 99k,Auto,Selangor,1.8,V,56800,MALAYSIA
2005 Honda ACCORD 2.4 VTi-L (A),ACCORD,4D SEDAN,2005,160k - 169k,Auto,Johor,2.4,VTi-L,13800,MALAYSIA
2017 Honda HR-V 1.8 V (A) FULL WARRANTY 3Y H/LOAN,HR-V,4D WAGON,2017,65k - 69k,Auto,Johor,1.8,V,48999,MALAYSIA
Honda HR-V 1.8 V FULL SERVICE RECORD 3YEAR WARANTY,HR-V,4D WAGON,2016,70k - 74k,Auto,Selangor,1.8,V,47800,MALAYSIA
2018 Honda CIVIC 1.8 S i-VTEC 1-3 YEAR WARRANTY,CIVIC,4D SEDAN,2018,80k - 84k,Auto,Johor,1.8,S i-VTEC,75800,MALAYSIA
2021 Honda CIVIC 1.8 S (A) DIRECT OWNER DATO,CIVIC,4D SEDAN,2021,65k - 69k,Auto,Kuala Lumpur,1.8,S,85000,MALAYSIA
ORI 2015 Honda CITY 1.5V (A) P/START K/LESS 1OWNER,CITY,4D SEDAN,2015,100k - 109k,Auto,Kuala Lumpur,1.5,V,39999,MALAYSIA
2015 Honda ACCORD 2.0 (A) FULL LOAN / LOAN KEDAI,ACCORD,4D SEDAN,2015,70k - 74k,Auto,Selangor,2,VTi-L,46990,MALAYSIA
2005 Honda ACCORD 2.4 VTi-L (A),ACCORD,4D SEDAN,2005,100k - 109k,Auto,Penang,2.4,VTi-L,17888,MALAYSIA
2005 Honda JAZZ 1.5 VTEC (A),JAZZ,4D HATCHBACK,2005,100k - 109k,Auto,Selangor,1.5,VTEC,18800,THAILAND
2024 Honda CITY 1.5 hatch back,CITY,4D HATCHBACK,2024,<4k,Auto,Kuala Lumpur,1.5,S,79800,MALAYSIA
